2011-12-26 09:16:18 task list is null.
2011-12-26 09:16:18 load 2 tasks from mysql.
2011-12-26 09:16:19 2 tasks in task list.
2011-12-26 09:16:20 2 tasks in task list.
2011-12-26 09:16:21 2 tasks in task list.
2011-12-26 09:16:22 2 tasks in task list.
2011-12-26 09:16:23 2 tasks in task list.
2011-12-26 09:16:24 2 tasks in task list.
2011-12-26 09:16:25 2 tasks in task list.
2011-12-26 09:16:26 2 tasks in task list.
2011-12-26 09:16:27 2 tasks in task list.
2011-12-26 09:16:28 2 tasks in task list.
2011-12-26 09:16:29 2 tasks in task list.
2011-12-26 09:16:30 2 tasks in task list.
2011-12-26 09:16:31 2 tasks in task list.
2011-12-26 09:16:32 2 tasks in task list.
2011-12-26 09:16:33 2 tasks in task list.
2011-12-26 09:16:34 2 tasks in task list.
2011-12-26 09:16:35 2 tasks in task list.
2011-12-26 09:16:36 2 tasks in task list.
2011-12-26 09:16:37 2 tasks in task list.
2011-12-26 09:16:38 2 tasks in task list.
2011-12-26 09:16:39 2 tasks in task list.
2011-12-26 09:16:40 2 tasks in task list.
2011-12-26 09:16:41 2 tasks in task list.
2011-12-26 09:16:42 2 tasks in task list.
2011-12-26 09:16:43 2 tasks in task list.
2011-12-26 09:16:44 2 tasks in task list.
2011-12-26 09:16:45 2 tasks in task list.
2011-12-26 09:16:46 2 tasks in task list.
2011-12-26 09:16:47 2 tasks in task list.
2011-12-26 09:16:48 2 tasks in task list.
2011-12-26 09:16:49 2 tasks in task list.
2011-12-26 09:16:50 2 tasks in task list.
2011-12-26 09:16:51 2 tasks in task list.
2011-12-26 09:16:52 2 tasks in task list.
2011-12-26 09:16:53 2 tasks in task list.
2011-12-26 09:16:54 2 tasks in task list.
2011-12-26 09:16:55 2 tasks in task list.
2011-12-26 09:16:56 2 tasks in task list.
2011-12-26 09:16:57 2 tasks in task list.
2011-12-26 09:16:58 2 tasks in task list.
2011-12-26 09:16:59 2 tasks in task list.
2011-12-26 09:17:00 2 tasks in task list.
2011-12-26 09:17:00 http://cron.market.test/upgoods.php...success
2011-12-26 09:17:00 http://cron.market.test/upgoods.php...success
2011-12-26 09:17:01 2 tasks in task list.
2011-12-26 09:17:02 2 tasks in task list.
2011-12-26 09:17:03 2 tasks in task list.
2011-12-26 09:17:04 2 tasks in task list.
